m_insp[Msun],mass_aEMS[Msun],M_loss[Msun],m_ins-M_loss
145.0,104.17888519588628,20.319139191677735,124.68086080832227
150.0,104.17888519588628,20.2011431586085,129.7988568413915
155.0,104.17888519588628,20.10000370169199,134.899996298308
160.0,104.17888519588628,19.998864244775458,140.00113575522454
165.0,104.17888519588628,19.885252406334043,145.11474759366595
170.0,104.17888519588628,19.796993452357608,150.2030065476424
175.0,104.17888519588628,19.696126076384516,155.30387392361547
180.0,104.17888519588628,19.62047554440471,160.3795244555953
185.0,104.17888519588628,19.519608168431645,165.48039183156834
190.0,104.17888519588628,19.447070096793166,170.55292990320683
195.0,104.17888519588628,19.342963395973694,175.6570366040263
200.0,104.17888519588628,19.25778518621233,180.74221481378765
205.0,104.17888519588628,19.17260697645096,185.82739302354904
210.0,104.17888519588628,19.106357257747653,190.89364274225235
215.0,104.17888519588628,19.0424417731526,195.9575582268474
220.0,104.17888519588628,18.954547401994603,201.0454525980054
225.0,104.17888519588628,18.911767333469708,206.0882326665303
230.0,104.17888519588628,18.826207196419897,211.1737928035801
235.0,104.17888519588628,18.769167105053356,216.23083289494664
240.0,104.17888519588628,18.6978669908452,221.3021330091548
245.0,104.17888519588628,18.655086922320308,226.34491307767968
250.0,104.17888519588628,18.57230314241107,231.42769685758893
255.0,104.17888519588628,18.509050443579437,236.49094955642056
260.0,104.17888519588628,18.44579774474782,241.55420225525216
265.0,104.17888519588628,18.419442453567978,246.58055754643203
270.0,104.17888519588628,18.33510552179248,251.66489447820751
275.0,104.17888519588628,18.292937055904712,256.7070629440953
280.0,104.17888519588628,18.240226473545,261.759773526455
285.0,104.17888519588628,18.176973774713375,266.82302622528664
290.0,104.17888519588628,18.145530998006123,271.8544690019939
295.0,104.17888519588628,18.098366832945217,276.9016331670548
300.0,104.17888519588628,18.051202667884294,281.9487973321157
305.0,104.17888519588628,18.00403850282339,286.9959614971766
310.0,104.17888519588628,17.956874337762482,292.0431256622375
315.0,104.17888519588628,17.89398878434794,297.1060112156521
320.0,104.17888519588628,17.854685313463815,302.1453146865362
325.0,104.17888519588628,17.81538184257975,307.18461815742023
330.0,104.17888519588628,17.783939065872474,312.21606093412754
335.0,104.17888519588628,17.73900659827176,317.26099340172823
